Database	VM12TRAIN
Words	438718
total     1668518
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
i:	43712	2.619810e-02	7.222273e-02	2.476894e-01	6.726986e-01	8.159464e-02	5.099184e-02	5.000000e-02	7.000000e-02	1.000000e-01	9.349382e-02	4.206701e-02	6.000000e-02	9.000000e-02	1.150000e-01	8.673040e-02	6.796425e-02	5.000000e-02	7.000000e-02	9.000000e-02	7.763544e-02	4.160315e-02	4.000000e-02	7.000000e-02	1.000000e-01	1.535759e-01	1.156133e-01	6.000000e-02	1.200000e-01	2.100000e-01
a~	15	8.990014e-06	0.000000e+00	0.000000e+00	1.000000e+00	1.360000e-01	6.895133e-02	1.000000e-01	1.400000e-01	1.550000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.360000e-01	6.895133e-02	1.000000e-01	1.400000e-01	1.550000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
E~	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O~	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9~	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	81453	4.881757e-02	1.227702e-05	6.064479e-01	3.935398e-01	7.474169e-02	6.433106e-02	3.000000e-02	5.000000e-02	9.000000e-02	1.500000e-01	0.000000e+00	1.500000e-01	1.500000e-01	1.500000e-01	8.208403e-02	7.411693e-02	4.000000e-02	6.000000e-02	1.000000e-01	6.342474e-02	4.289030e-02	3.000000e-02	5.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9	5017	3.006860e-03	0.000000e+00	2.930038e-02	9.706996e-01	7.102950e-02	2.789286e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.853741e-02	1.718365e-02	3.000000e-02	5.000000e-02	6.000000e-02	7.170842e-02	2.787315e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
@	57443	3.442756e-02	1.432725e-02	4.447713e-01	5.409014e-01	7.517557e-02	7.336620e-02	3.000000e-02	5.000000e-02	8.000000e-02	1.178797e-01	1.315959e-01	4.000000e-02	6.000000e-02	1.200000e-01	8.151493e-02	7.392284e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.883171e-02	6.984396e-02	3.000000e-02	5.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
C	37074	2.221972e-02	3.398608e-03	6.517775e-01	3.227059e-01	7.583738e-02	5.100358e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.154365e-01	7.328034e-02	8.000000e-02	1.000000e-01	1.300000e-01	7.757553e-02	5.566309e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.279505e-02	3.964793e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.292073e-02	4.391661e-02	3.000000e-02	5.000000e-02	8.000000e-02
E	41143	2.465841e-02	9.148580e-02	1.203121e-02	8.961427e-01	6.984262e-02	3.724007e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.124601e-02	4.542417e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.225253e-02	5.756731e-02	3.000000e-02	5.000000e-02	1.000000e-01	6.967752e-02	3.594226e-02	4.000000e-02	6.000000e-02	9.000000e-02	4.214286e-02	1.761930e-02	3.000000e-02	3.500000e-02	4.750000e-02
I	69046	4.138163e-02	2.941662e-01	2.502679e-02	6.729861e-01	5.472511e-02	3.013954e-02	3.000000e-02	5.000000e-02	6.000000e-02	5.561075e-02	3.115703e-02	3.000000e-02	5.000000e-02	7.000000e-02	4.911748e-02	3.844532e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.468182e-02	2.937188e-02	4.000000e-02	5.000000e-02	6.000000e-02	4.308333e-02	2.025309e-02	3.000000e-02	3.250000e-02	5.000000e-02
N	14509	8.695741e-03	3.790751e-03	5.634434e-01	4.327659e-01	8.466917e-02	6.396054e-02	5.000000e-02	7.000000e-02	1.000000e-01	1.014545e-01	1.246093e-01	3.000000e-02	5.000000e-02	8.500000e-02	9.634312e-02	7.500061e-02	5.000000e-02	8.000000e-02	1.200000e-01	6.932314e-02	3.976120e-02	4.000000e-02	6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
O	23347	1.399266e-02	6.026470e-02	2.535658e-02	9.143787e-01	7.363280e-02	3.229251e-02	5.000000e-02	7.000000e-02	9.000000e-02	8.662047e-02	3.914680e-02	6.000000e-02	8.000000e-02	1.100000e-01	7.162162e-02	3.893448e-02	5.000000e-02	7.000000e-02	8.000000e-02	7.283258e-02	3.139562e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Q	36946	2.214300e-02	9.247821e-01	1.245060e-03	7.397283e-02	7.399300e-02	7.279825e-02	4.000000e-02	6.000000e-02	8.000000e-02	7.496766e-02	7.296706e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.870652e-01	2.330393e-01	5.625000e-02	8.500000e-02	2.075000e-01	5.990487e-02	6.134168e-02	3.000000e-02	4.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
S	15294	9.166218e-03	5.104616e-01	3.609259e-02	4.508304e-01	8.665850e-02	4.088199e-02	6.000000e-02	8.000000e-02	1.100000e-01	8.808121e-02	4.072886e-02	6.000000e-02	8.000000e-02	1.100000e-01	1.214221e-01	7.616677e-02	6.000000e-02	1.000000e-01	1.700000e-01	8.221030e-02	3.506700e-02	6.000000e-02	8.000000e-02	1.000000e-01	9.600000e-02	5.405600e-02	5.000000e-02	9.000000e-02	1.300000e-01
U	25125	1.505827e-02	3.275622e-01	4.497512e-03	6.651940e-01	7.047204e-02	4.078211e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.521020e-02	4.129759e-02	5.000000e-02	7.000000e-02	9.000000e-02	5.420354e-02	3.994732e-02	3.000000e-02	4.000000e-02	6.000000e-02	6.833303e-02	4.033708e-02	4.000000e-02	6.000000e-02	8.000000e-02	5.007246e-02	2.993243e-02	3.000000e-02	4.000000e-02	6.000000e-02
Y	11267	6.752699e-03	1.242567e-03	6.408094e-02	9.346765e-01	5.129316e-02	2.755159e-02	3.000000e-02	4.000000e-02	6.000000e-02	3.071429e-02	2.672612e-03	3.000000e-02	3.000000e-02	3.000000e-02	4.547091e-02	1.898755e-02	3.000000e-02	4.000000e-02	5.000000e-02	5.171968e-02	2.800684e-02	3.000000e-02	5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Z	147	8.810214e-05	1.360544e-02	0.000000e+00	9.863946e-01	6.530612e-02	3.156437e-02	3.000000e-02	7.000000e-02	9.000000e-02	4.500000e-02	7.071068e-03	4.250000e-02	4.500000e-02	4.750000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.558621e-02	3.168587e-02	3.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
a	71763	4.301002e-02	1.662835e-01	2.830149e-02	8.044117e-01	7.543080e-02	3.771534e-02	5.000000e-02	7.000000e-02	9.000000e-02	8.294436e-02	3.970060e-02	5.000000e-02	8.000000e-02	1.000000e-01	1.029665e-01	7.559583e-02	5.000000e-02	8.000000e-02	1.300000e-01	7.291908e-02	3.458286e-02	5.000000e-02	7.000000e-02	9.000000e-02	6.722222e-02	2.622880e-02	4.750000e-02	6.000000e-02	9.000000e-02
b	31080	1.862731e-02	5.025418e-01	8.552124e-02	4.119369e-01	5.267423e-02	2.193583e-02	3.000000e-02	5.000000e-02	6.000000e-02	5.602151e-02	2.261208e-02	4.000000e-02	5.000000e-02	7.000000e-02	4.128104e-02	1.548018e-02	3.000000e-02	4.000000e-02	5.000000e-02	5.095603e-02	2.123822e-02	3.000000e-02	5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
d	69556	4.168729e-02	7.865173e-01	2.294554e-02	1.896458e-01	5.014334e-02	3.013943e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.241724e-02	3.148924e-02	3.000000e-02	5.000000e-02	6.000000e-02	4.164791e-02	1.772698e-02	3.000000e-02	3.000000e-02	5.000000e-02	4.176560e-02	2.313978e-02	3.000000e-02	3.000000e-02	5.000000e-02	4.483871e-02	2.815309e-02	3.000000e-02	3.000000e-02	5.000000e-02
e	2115	1.267592e-03	0.000000e+00	3.215130e-02	9.678487e-01	6.142790e-02	2.812946e-02	4.000000e-02	5.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.735294e-02	6.340742e-02	5.000000e-02	7.000000e-02	1.225000e-01	6.023449e-02	2.532957e-02	4.000000e-02	5.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
f	45357	2.718400e-02	6.060806e-01	1.110744e-01	2.753709e-01	9.323677e-02	5.615135e-02	6.000000e-02	9.000000e-02	1.100000e-01	9.529720e-02	5.385410e-02	6.000000e-02	9.000000e-02	1.200000e-01	9.768063e-02	9.290460e-02	5.000000e-02	7.000000e-02	1.100000e-01	8.668455e-02	3.809122e-02	6.000000e-02	8.000000e-02	1.100000e-01	1.015192e-01	5.185302e-02	7.000000e-02	1.000000e-01	1.200000e-01
g	30232	1.811907e-02	6.293001e-01	1.286716e-02	3.577997e-01	5.677362e-02	2.978496e-02	3.000000e-02	5.000000e-02	7.000000e-02	6.120894e-02	3.099757e-02	4.000000e-02	6.000000e-02	7.000000e-02	4.555270e-02	2.361396e-02	3.000000e-02	4.000000e-02	5.000000e-02	4.937876e-02	2.599397e-02	3.000000e-02	4.000000e-02	6.000000e-02	3.000000e-02	0.000000e+00	3.000000e-02	3.000000e-02	3.000000e-02
h	19498	1.168582e-02	6.887373e-01	3.267002e-02	2.785927e-01	8.336318e-02	1.183986e-01	3.000000e-02	5.000000e-02	8.000000e-02	8.090254e-02	1.148775e-01	3.000000e-02	5.000000e-02	8.000000e-02	2.314208e-01	2.506191e-01	6.000000e-02	1.100000e-01	3.600000e-01	7.208395e-02	8.733351e-02	3.000000e-02	5.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
i	5345	3.203442e-03	0.000000e+00	3.231057e-01	6.768943e-01	8.531057e-02	6.452372e-02	4.000000e-02	6.000000e-02	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.489085e-01	7.390615e-02	9.000000e-02	1.300000e-01	1.900000e-01	5.495301e-02	2.629894e-02	4.000000e-02	4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
j	18176	1.089350e-02	9.255612e-01	1.314921e-02	6.128961e-02	1.132276e-01	1.125923e-01	6.000000e-02	9.000000e-02	1.200000e-01	1.142808e-01	1.128995e-01	6.000000e-02	9.000000e-02	1.300000e-01	1.963598e-01	1.994081e-01	7.000000e-02	1.000000e-01	2.650000e-01	7.948833e-02	5.675097e-02	5.000000e-02	7.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k	32051	1.920926e-02	3.179620e-01	3.188044e-01	3.632024e-01	8.053259e-02	4.087289e-02	5.000000e-02	7.000000e-02	1.000000e-01	9.345500e-02	3.530555e-02	7.000000e-02	9.000000e-02	1.100000e-01	7.347328e-02	4.747282e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.541620e-02	3.625441e-02	5.000000e-02	7.000000e-02	9.000000e-02	8.000000e-02	0.000000e+00	8.000000e-02	8.000000e-02	8.000000e-02
l	44316	2.656010e-02	9.542829e-02	1.978292e-01	7.067425e-01	6.455704e-02	5.240708e-02	3.000000e-02	5.000000e-02	7.000000e-02	6.669780e-02	4.441691e-02	4.000000e-02	6.000000e-02	8.000000e-02	8.774438e-02	7.937963e-02	4.000000e-02	6.000000e-02	1.100000e-01	5.777746e-02	4.073222e-02	3.000000e-02	5.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
m	70340	4.215717e-02	3.886409e-01	3.627808e-01	2.322150e-01	8.708061e-02	8.098583e-02	5.000000e-02	7.000000e-02	9.000000e-02	7.806252e-02	6.452966e-02	5.000000e-02	7.000000e-02	9.000000e-02	1.067786e-01	1.071220e-01	5.000000e-02	7.000000e-02	1.200000e-01	7.151158e-02	4.247558e-02	5.000000e-02	7.000000e-02	8.000000e-02	8.549957e-02	8.914394e-02	5.000000e-02	7.000000e-02	9.000000e-02
n	176051	1.055134e-01	1.192495e-01	4.976626e-01	3.695804e-01	6.562110e-02	4.978605e-02	4.000000e-02	5.000000e-02	8.000000e-02	6.335310e-02	5.325102e-02	3.000000e-02	5.000000e-02	7.000000e-02	7.234991e-02	5.664203e-02	4.000000e-02	5.000000e-02	8.500000e-02	5.728579e-02	3.533674e-02	3.000000e-02	5.000000e-02	7.000000e-02	6.579479e-02	4.984958e-02	4.000000e-02	5.000000e-02	8.000000e-02
o	9331	5.592388e-03	0.000000e+00	5.570678e-01	4.429322e-01	8.231700e-02	6.439317e-02	4.000000e-02	6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.874760e-02	7.673702e-02	4.000000e-02	5.000000e-02	1.100000e-01	7.422937e-02	4.288278e-02	5.000000e-02	6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
p	14038	8.413454e-03	2.476849e-01	2.610771e-01	4.909531e-01	7.291886e-02	3.963314e-02	4.000000e-02	7.000000e-02	9.000000e-02	8.182629e-02	3.855452e-02	5.000000e-02	8.000000e-02	1.000000e-01	6.531105e-02	4.763668e-02	3.000000e-02	5.000000e-02	8.000000e-02	7.247969e-02	3.423463e-02	5.000000e-02	7.000000e-02	9.000000e-02	5.750000e-02	1.892969e-02	5.250000e-02	6.500000e-02	7.000000e-02
r	35038	2.099947e-02	9.780810e-02	1.244078e-01	7.777841e-01	5.276600e-02	2.755194e-02	3.000000e-02	5.000000e-02	7.000000e-02	5.809746e-02	2.688675e-02	4.000000e-02	5.000000e-02	7.000000e-02	3.682611e-02	2.750366e-02	3.000000e-02	3.000000e-02	3.000000e-02	5.464516e-02	2.676555e-02	3.000000e-02	5.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
s	103836	6.223247e-02	1.084402e-02	4.037039e-01	5.314438e-01	7.772054e-02	4.996192e-02	5.000000e-02	7.000000e-02	9.000000e-02	9.563943e-02	7.822128e-02	4.125000e-02	7.250000e-02	1.200000e-01	8.472399e-02	6.321547e-02	4.000000e-02	7.000000e-02	1.000000e-01	7.244060e-02	3.488397e-02	5.000000e-02	7.000000e-02	9.000000e-02	7.372771e-02	4.925067e-02	4.000000e-02	6.000000e-02	9.000000e-02
t	119098	7.137951e-02	1.874003e-01	2.679138e-01	5.436111e-01	7.391107e-02	8.703115e-02	4.000000e-02	5.000000e-02	8.000000e-02	6.460191e-02	6.756080e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.053318e-01	1.395603e-01	4.000000e-02	6.000000e-02	1.100000e-01	6.159693e-02	4.546792e-02	3.000000e-02	5.000000e-02	8.000000e-02	9.308594e-02	1.130433e-01	5.000000e-02	7.000000e-02	9.000000e-02
u	2827	1.694318e-03	0.000000e+00	1.414927e-02	9.858507e-01	6.915458e-02	3.842014e-02	4.000000e-02	5.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.800000e-02	8.446513e-02	4.000000e-02	5.500000e-02	8.250000e-02	6.888410e-02	3.731297e-02	4.000000e-02	5.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
v	50967	3.054627e-02	7.160123e-01	3.727902e-04	2.705280e-01	5.112112e-02	2.897961e-02	3.000000e-02	4.500000e-02	6.000000e-02	5.041419e-02	3.126556e-02	3.000000e-02	4.000000e-02	6.000000e-02	6.894737e-02	3.998538e-02	4.000000e-02	6.000000e-02	9.000000e-02	5.290833e-02	2.061571e-02	4.000000e-02	5.000000e-02	6.000000e-02	5.234633e-02	4.195402e-02	3.000000e-02	4.000000e-02	6.000000e-02
x	21978	1.317217e-02	5.915006e-04	5.917281e-01	4.075439e-01	9.093231e-02	9.312400e-02	5.000000e-02	7.000000e-02	1.000000e-01	2.553846e-01	3.715197e-01	6.000000e-02	8.000000e-02	1.200000e-01	8.970820e-02	1.022795e-01	4.000000e-02	6.000000e-02	9.000000e-02	9.246624e-02	7.654455e-02	6.000000e-02	9.000000e-02	1.100000e-01	1.050000e-01	1.171537e-01	3.750000e-02	4.500000e-02	1.425000e-01
y	411	2.463264e-04	0.000000e+00	7.761557e-01	2.238443e-01	1.097202e-01	6.705463e-02	6.000000e-02	9.000000e-02	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.242163e-01	6.824747e-02	7.000000e-02	1.100000e-01	1.600000e-01	5.945652e-02	2.628517e-02	4.000000e-02	5.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
z	33635	2.015861e-02	6.237550e-01	2.167385e-02	3.433626e-01	6.780794e-02	3.324161e-02	4.000000e-02	6.000000e-02	8.000000e-02	6.907197e-02	3.467721e-02	4.000000e-02	6.000000e-02	9.000000e-02	8.004801e-02	4.429350e-02	6.000000e-02	7.000000e-02	9.000000e-02	6.500130e-02	2.889748e-02	4.000000e-02	6.000000e-02	8.000000e-02	5.977454e-02	4.023389e-02	3.000000e-02	5.000000e-02	7.000000e-02
