% ARFF file for Verbmobil
% Phoneme: all_vowels
%
@relation all_vowels

% List of attributes:
%
% Duration is expressed in milliseconds
@attribute phoneme { a, a~, e, E, I, i, O, o, U, u, Y, y, 9, 2, @, 6, a:, a~:, e:, E:, i:, o:, u:, y:, 2:, OY, aU, aI }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { ze, PDS, gla, g, gib, t, ADJD, fuen, APPRART, KOKOM, VAFIN, Zu, wa, v, ADV, PRELS, ART, VMFIN, VVIZU, KOUS, APPO, Unterkunfts, PWAT, VAINF, Bla-Damm, m, f, ge, PRF, Marriott-Ho, Flugzeig, VVIMP, TRUNC, Au, ORD, dorten, VVPP, Fro, PTKA, PTKNEG, Ma, de, PTKVZ, VVFIN, VAPP, he, Prinzen, PWAV, Flieg, PIS, Mittw, APPR, CARD, PAV, <aehm>, PIDAT, tschamtatam, Flu, h, no, PTKANT, PPOSAT, VMINF, ueber, <aeh>, PTKZU, PPER, FW, PDAT, ADJA, so, PWS, PIAT, NN, mo, VVINF, Mont, ITJ, Rueckf, Wieder, to, bescha, k, KON, KOUI, Anfa, schlech, SPELL, Rueckscha, NE, al, F, au,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { overlapped, not_overlapped }
@attribute speech_rate_pho numeric
@attribute speech_rate_w numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute duration numeric

@data
a, g016acn1_022_ABE.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 14.3, 260.7, 5.6, 6.7, 189.94
a, g016acn1_022_ABE.par, Middle_word, VMFIN, no_pause, p_stress, not_overlapped, 14.3, 260.7, 5.6, 6.7, 59.94
a, g016acn1_022_ABE.par, Middle_word, VAFIN, no_pause, p_stress, not_overlapped, 14.3, 260.7, 5.6, 6.7, 89.94
a, g016acn1_022_ABE.par, Middle_word, PDS, no_pause, none, not_overlapped, 14.3, 260.7, 5.6, 6.7, 39.94
a, g016acn1_022_ABE.par, End_word, ADJD, no_pause, none, not_overlapped, 14.3, 260.7, 5.6, 6.7, 49.94
a, g016acn1_024_ABE.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.2, 227.6, 4.8, 5.8, 99.94
a, g016acn1_026_ABE.par, Start_word, ADV, near_pause, p_stress, not_overlapped, 13.3, 202.3, 5.5, 6.3, 29.94
a, g016acn1_026_ABE.par, Middle_word, ADV, no_pause, none, not_overlapped, 13.3, 202.3, 5.5, 6.3, 79.94
a, g016acn1_026_ABE.par, Middle_word, PRELS, no_pause, p_stress, not_overlapped, 13.3, 202.3, 5.5, 6.3, 109.94
a, g016acn1_026_ABE.par, Middle_word, PDS, no_pause, none, not_overlapped, 13.3, 202.3, 5.5, 6.3, 49.94
a, g016acn1_026_ABE.par, End_word, ADV, no_pause, p_stress, not_overlapped, 13.3, 202.3, 5.5, 6.3, 89.94
a, g016acn1_031_ABE.par, Middle_word, VVFIN, no_pause, s_stress, not_overlapped, 15.6, 246.1, 5.3, 7.0, 59.94
a, g016acn1_033_ABE.par, Middle_word, NN, no_pause, p_stress, not_overlapped, 15.6, 311.2, 6.7, 8.3, 39.94
a, g016acn1_037_ABE.par, Start_word, ADJD, near_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 39.94
a, g016acn1_037_ABE.par, Start_word, CARD, no_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 129.94
a, g016acn1_037_ABE.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 99.94
a, g016acn1_037_ABE.par, Middle_word, PIS, no_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 29.94
a, g016acn1_037_ABE.par, Middle_word, NE, no_pause, none, not_overlapped, 13.0, 206.2, 4.7, 5.5, 69.94
a, g016acn1_037_ABE.par, Middle_word, VMFIN, no_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 69.94
a, g016acn1_037_ABE.par, Middle_word, PIS, no_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 89.94
a, g016acn1_037_ABE.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 139.94
a, g016acn1_037_ABE.par, Middle_word, PIS, no_pause, p_stress, not_overlapped, 13.0, 206.2, 4.7, 5.5, 129.94
a, g016acn1_039_ABE.par, Start_word, PDS, no_pause, none, not_overlapped, 12.9, 175.4, 5.2, 5.5, 89.94
a, g016acn1_039_ABE.par, Middle_word, CARD, no_pause, s_stress, not_overlapped, 12.9, 175.4, 5.2, 5.5, 49.94
a, g016acn1_039_ABE.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.9, 175.4, 5.2, 5.5, 59.94
a, g016acn1_039_ABE.par, Middle_word, APPRART, no_pause, p_stress, not_overlapped, 12.9, 175.4, 5.2, 5.5, 49.94
a, g016acn1_041_ABE.par, Middle_word, ORD, no_pause, s_stress, not_overlapped, 16.6, 166.3, 5.9, 7.4, 39.94
a, g016acn1_041_ABE.par, Middle_word, ORD, no_pause, s_stress, not_overlapped, 16.6, 166.3, 5.9, 7.4, 79.94
a, g016acn1_044_ABE.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 11.9, 204.7, 5.1, 5.7, 89.94
a, g016acn2_005_ABO.par, Start_word, ADV, near_pause, p_stress, not_overlapped, 10.7, 172.1, 4.5, 4.7, 149.94
a, g016acn2_005_ABO.par, Middle_word, KOUS, no_pause, p_stress, not_overlapped, 10.7, 172.1, 4.5, 4.7, 119.94
a, g016acn2_005_ABO.par, Middle_word, ADV, no_pause, none, not_overlapped, 10.7, 172.1, 4.5, 4.7, 59.94
a, g016acn2_007_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.5, 238.3, 6.2, 6.4, 99.94
a, g016acn2_007_ABO.par, Middle_word, APPRART, no_pause, p_stress, not_overlapped, 13.5, 238.3, 6.2, 6.4, 29.94
a, g016acn2_007_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.5, 238.3, 6.2, 6.4, 119.94
a, g016acn2_009_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.3, 194.5, 5.0, 5.8, 29.94
a, g016acn2_009_ABO.par, Middle_word, VVFIN, no_pause, p_stress, not_overlapped, 12.3, 194.5, 5.0, 5.8, 59.94
a, g016acn2_009_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.3, 194.5, 5.0, 5.8, 79.94
a, g016acn2_009_ABO.par, Middle_word, ADJA, no_pause, p_stress, not_overlapped, 12.3, 194.5, 5.0, 5.8, 59.94
a, g016acn2_009_ABO.par, End_word, NE, no_pause, none, not_overlapped, 12.3, 194.5, 5.0, 5.8, 39.94
a, g016acn2_011_ABO.par, Start_word, ADV, no_pause, p_stress, not_overlapped, 11.6, 184.4, 4.4, 5.1, 29.94
a, g016acn2_011_ABO.par, End_word, ADJA, no_pause, p_stress, not_overlapped, 11.6, 184.4, 4.4, 5.1, 29.94
a, g016acn2_013_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 11.7, 207.3, 4.7, 5.2, 29.94
a, g016acn2_013_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 11.7, 207.3, 4.7, 5.2, 39.94
a, g016acn2_013_ABO.par, Middle_word, APPR, no_pause, p_stress, not_overlapped, 11.7, 207.3, 4.7, 5.2, 119.94
a, g016acn2_013_ABO.par, Middle_word, ADJD, no_pause, p_stress, not_overlapped, 11.7, 207.3, 4.7, 5.2, 39.94
a, g016acn2_015_ABO.par, Start_word, ADV, near_pause, none, overlapped, 15.4, 188.2, 5.0, 5.5, 129.94
a, g016acn2_015_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 15.4, 188.2, 5.0, 5.5, 59.94
a, g016acn2_017_ABO.par, Start_word, ART, near_pause, none, not_overlapped, 14.1, 281.5, 5.7, 6.8, 29.94
a, g016acn2_021_ABO.par, Start_word, PWS, no_pause, p_stress, not_overlapped, 12.1, 263.9, 4.0, 5.1, 69.94
a, g016acn2_021_ABO.par, Middle_word, PWS, no_pause, p_stress, not_overlapped, 12.1, 263.9, 4.0, 5.1, 79.94
a, g016acn2_021_ABO.par, Middle_word, VAFIN, no_pause, p_stress, not_overlapped, 12.1, 263.9, 4.0, 5.1, 69.94
a, g016acn2_021_ABO.par, Middle_word, PDS, no_pause, none, not_overlapped, 12.1, 263.9, 4.0, 5.1, 39.94
a, g016acn2_023_ABO.par, Middle_word, PWS, no_pause, p_stress, not_overlapped, 15.7, 266.6, 5.9, 6.8, 79.94
a, g016acn2_023_ABO.par, Middle_word, VVPP, no_pause, p_stress, not_overlapped, 15.7, 266.6, 5.9, 6.8, 39.94
a, g016acn2_023_ABO.par, Middle_word, PDS, no_pause, none, not_overlapped, 15.7, 266.6, 5.9, 6.8, 49.94
a, g016acn2_023_ABO.par, Middle_word, ADJD, no_pause, p_stress, not_overlapped, 15.7, 266.6, 5.9, 6.8, 49.94
a, g016acn2_023_ABO.par, Middle_word, ART, no_pause, none, not_overlapped, 15.7, 266.6, 5.9, 6.8, 29.94
a, g016acn2_028_ABO.par, Middle_word, NE, no_pause, none, not_overlapped, 13.1, 267.6, 5.9, 6.1, 29.94
a, g016acn2_028_ABO.par, Middle_word, NN, no_pause, s_stress, not_overlapped, 13.1, 267.6, 5.9, 6.1, 129.94
a, g016acn2_030_ABO.par, Start_word, NN, near_pause, s_stress, overlapped, 10.9, 93.8, 4.7, 4.7, 129.94
a, g016acn2_032_ABO.par, Start_word, ADV, no_pause, none, not_overlapped, 15.9, 247.3, 5.9, 7.4, 79.94
a, g016acn2_036_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.0, 253.3, 5.1, 6.3, 89.94
a, g016acn2_036_ABO.par, End_word, ADJD, no_pause, p_stress, not_overlapped, 13.0, 253.3, 5.1, 6.3, 49.94
a, g016acn2_036_ABO.par, End_word, CARD, no_pause, p_stress, not_overlapped, 13.0, 253.3, 5.1, 6.3, 159.94
a, g016acn2_038_ABO.par, Start_word, ADV, no_pause, p_stress, not_overlapped, 12.8, 163.7, 5.0, 5.5, 79.94
a, g016acn2_038_ABO.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.8, 163.7, 5.0, 5.5, 99.94
a, g016acn2_038_ABO.par, End_word, CARD, no_pause, s_stress, not_overlapped, 12.8, 163.7, 5.0, 5.5, 89.94
a, g016acn2_040_ABO.par, End_word, ORD, no_pause, s_stress, not_overlapped, 15.3, 148.9, 5.0, 5.8, 89.94
a, g016acn2_042_ABO.par, Middle_word, PDS, no_pause, none, overlapped, 13.8, 256.0, 6.6, 7.9, 29.94
a, g218acn1_001_AHP.par, Middle_word, KOUS, no_pause, p_stress, not_overlapped, 10.2, 163.7, 4.1, 4.5, 39.94
a, g218acn1_001_AHP.par, Middle_word, VVINF, no_pause, p_stress, not_overlapped, 10.2, 163.7, 4.1, 4.5, 109.94
a, g218acn1_005_AHP.par, End_word, ADJD, no_pause, s_stress, not_overlapped, 10.9, 197.6, 4.1, 4.8, 89.94
a, g218acn1_011_AHP.par, Middle_word, ART, no_pause, none, not_overlapped, 14.5, 239.0, 5.7, 6.6, 29.94
a, g218acn1_011_AHP.par, Middle_word, VVINF, no_pause, p_stress, not_overlapped, 14.5, 239.0, 5.7, 6.6, 29.94
a, g218acn1_011_AHP.par, Middle_word, PIS, no_pause, p_stress, not_overlapped, 14.5, 239.0, 5.7, 6.6, 119.94
a, g218acn1_011_AHP.par, Middle_word, ADJD, no_pause, p_stress, not_overlapped, 14.5, 239.0, 5.7, 6.6, 89.94
a, g218acn1_014_AHP.par, Middle_word, ART, no_pause, none, not_overlapped, 9.8, 156.1, 3.8, 4.4, 29.94
a, g218acn1_014_AHP.par, Middle_word, PWS, no_pause, p_stress, not_overlapped, 9.8, 156.1, 3.8, 4.4, 109.94
a, g218acn1_017_AHP.par, Start_word, ADV, near_pause, p_stress, not_overlapped, 14.6, 229.7, 5.3, 6.0, 99.94
a, g218acn1_017_AHP.par, Middle_word, ART, no_pause, none, not_overlapped, 14.6, 229.7, 5.3, 6.0, 49.94
a, g218acn1_017_AHP.par, Middle_word, NN, no_pause, p_stress, not_overlapped, 14.6, 229.7, 5.3, 6.0, 119.94
a, g218acn1_017_AHP.par, Middle_word, APPR, no_pause, p_stress, not_overlapped, 14.6, 229.7, 5.3, 6.0, 89.94
a, g218acn1_017_AHP.par, Middle_word, CARD, no_pause, p_stress, not_overlapped, 14.6, 229.7, 5.3, 6.0, 109.94
a, g218acn1_017_AHP.par, Middle_word, CARD, no_pause, p_stress, not_overlapped, 14.6, 229.7, 5.3, 6.0, 109.94
a, g218acn1_017_AHP.par, Middle_word, CARD, no_pause, p_stress, not_overlapped, 14.6, 229.7, 5.3, 6.0, 129.94
a, g218acn1_019_AHP.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.0, 201.0, 5.3, 6.0, 119.94
a, g218acn1_019_AHP.par, Middle_word, VVFIN, no_pause, p_stress, not_overlapped, 13.0, 201.0, 5.3, 6.0, 79.94
a, g218acn1_019_AHP.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.0, 201.0, 5.3, 6.0, 89.94
a, g218acn1_019_AHP.par, Middle_word, APPRART, no_pause, p_stress, not_overlapped, 13.0, 201.0, 5.3, 6.0, 79.94
a, g218acn1_019_AHP.par, Middle_word, ADJA, no_pause, p_stress, not_overlapped, 13.0, 201.0, 5.3, 6.0, 119.94
a, g218acn1_026_AHP.par, Middle_word, ADV, no_pause, none, not_overlapped, 12.0, 272.9, 4.9, 5.5, 169.94
a, g218acn1_026_AHP.par, End_word, ADV, no_pause, p_stress, not_overlapped, 12.0, 272.9, 4.9, 5.5, 99.94
a, g218acn1_028_AHP.par, End_word, NN, no_pause, s_stress, not_overlapped, 6.2, 92.6, 2.2, 2.8, 59.94
a, g218acn1_030_AHP.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.7, 212.9, 4.9, 5.9, 99.94
a, g218acn1_030_AHP.par, Middle_word, VVFIN, no_pause, p_stress, not_overlapped, 12.7, 212.9, 4.9, 5.9, 99.94
a, g218acn1_030_AHP.par, Middle_word, PDS, no_pause, none, not_overlapped, 12.7, 212.9, 4.9, 5.9, 39.94
a, g218acn1_030_AHP.par, Middle_word, VVINF, no_pause, p_stress, not_overlapped, 12.7, 212.9, 4.9, 5.9, 49.94
a, g218acn1_030_AHP.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.7, 212.9, 4.9, 5.9, 99.94
a, g218acn1_030_AHP.par, Middle_word, ADV, no_pause, none, not_overlapped, 12.7, 212.9, 4.9, 5.9, 49.94
a, g218acn1_034_AHP.par, End_word, ADV, no_pause, p_stress, not_overlapped, 10.9, 154.0, 4.5, 4.5, 149.94
a, g218acn2_000_AHQ.par, Middle_word, VMFIN, no_pause, p_stress, not_overlapped, 12.6, 193.4, 4.9, 5.4, 69.94
a, g218acn2_000_AHQ.par, Middle_word, gla, no_pause, none, not_overlapped, 12.6, 193.4, 4.9, 5.4, 79.94
a, g218acn2_000_AHQ.par, Middle_word, NE, no_pause, none, not_overlapped, 12.6, 193.4, 4.9, 5.4, 49.94
a, g218acn2_000_AHQ.par, Middle_word, PWAV, no_pause, p_stress, not_overlapped, 12.6, 193.4, 4.9, 5.4, 129.94
a, g218acn2_000_AHQ.par, Middle_word, PWAV, no_pause, p_stress, not_overlapped, 12.6, 193.4, 4.9, 5.4, 79.94
a, g218acn2_002_AHQ.par, Middle_word, ADJD, no_pause, p_stress, not_overlapped, 14.5, 200.2, 5.2, 5.2, 79.94
a, g218acn2_004_AHQ.par, Middle_word, PDS, no_pause, none, not_overlapped, 13.6, 182.8, 5.0, 5.5, 39.94
a, g218acn2_004_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.6, 182.8, 5.0, 5.5, 69.94
a, g218acn2_004_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 13.6, 182.8, 5.0, 5.5, 89.94
a, g218acn2_010_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 15.3, 191.8, 5.6, 6.3, 59.94
a, g218acn2_010_AHQ.par, Middle_word, NE, no_pause, none, not_overlapped, 15.3, 191.8, 5.6, 6.3, 129.94
a, g218acn2_010_AHQ.par, Middle_word, KOUS, no_pause, p_stress, not_overlapped, 15.3, 191.8, 5.6, 6.3, 59.94
a, g218acn2_010_AHQ.par, Middle_word, KOUS, no_pause, none, not_overlapped, 15.3, 191.8, 5.6, 6.3, 29.94
a, g218acn2_010_AHQ.par, Middle_word, PTKA, no_pause, p_stress, not_overlapped, 15.3, 191.8, 5.6, 6.3, 49.94
a, g218acn2_010_AHQ.par, Middle_word, ART, no_pause, none, not_overlapped, 15.3, 191.8, 5.6, 6.3, 29.94
a, g218acn2_010_AHQ.par, End_word, NE, no_pause, p_stress, not_overlapped, 15.3, 191.8, 5.6, 6.3, 149.94
a, g218acn2_012_AHQ.par, Middle_word, ART, no_pause, none, not_overlapped, 17.0, 226.7, 6.6, 7.4, 29.94
a, g218acn2_012_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 17.0, 226.7, 6.6, 7.4, 59.94
a, g218acn2_015_AHQ.par, Start_word, ADV, near_pause, p_stress, not_overlapped, 18.0, 285.1, 7.8, 8.5, 29.94
a, g218acn2_018_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 14.5, 249.3, 5.1, 5.9, 79.94
a, g218acn2_018_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 14.5, 249.3, 5.1, 5.9, 49.94
a, g218acn2_023_AHQ.par, Start_word, PDS, no_pause, none, not_overlapped, 12.8, 191.8, 5.4, 5.8, 29.94
a, g218acn2_023_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 12.8, 191.8, 5.4, 5.8, 89.94
a, g218acn2_025_AHQ.par, End_word, ADV, no_pause, none, not_overlapped, 8.7, 120.9, 4.0, 4.0, 229.94
a, g218acn2_029_AHQ.par, Start_word, ADV, near_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 79.94
a, g218acn2_029_AHQ.par, Middle_word, KOUS, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 29.94
a, g218acn2_029_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 69.94
a, g218acn2_029_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 89.94
a, g218acn2_029_AHQ.par, Middle_word, VVINF, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 79.94
a, g218acn2_029_AHQ.par, Middle_word, PTKA, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 59.94
a, g218acn2_029_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 59.94
a, g218acn2_029_AHQ.par, Middle_word, KOUS, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 29.94
a, g218acn2_029_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 49.94
a, g218acn2_029_AHQ.par, End_word, NN, no_pause, p_stress, not_overlapped, 15.4, 228.6, 6.1, 6.9, 129.94
a, g218acn2_033_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 9.9, 217.0, 3.6, 3.9, 89.94
a, g218acn2_033_AHQ.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 9.9, 217.0, 3.6, 3.9, 89.94
a, g243acn1_003_AID.par, End_word, NE, no_pause, none, not_overlapped, 13.1, 224.5, 5.6, 5.6, 29.94
a, g243acn1_004_AID.par, Middle_word, ADJD, no_pause, p_stress, not_overlapped, 12.2, 218.7, 4.9, 5.8, 69.94
a, g243acn1_008_AID.par, Start_word, ADV, no_pause, p_stress, not_overlapped, 15.9, 288.7, 7.2, 7.7, 79.94
a, g243acn1_008_AID.par, Middle_word, APPRART, no_pause, p_stress, not_overlapped, 15.9, 288.7, 7.2, 7.7, 29.94
a, g243acn1_010_AID.par, Middle_word, PWAV, no_pause, p_stress, not_overlapped, 16.8, 308.5, 6.5, 7.9, 69.94
a, g243acn1_015_AID.par, Middle_word, NE, no_pause, none, not_overlapped, 11.2, 166.4, 4.2, 4.9, 29.94
a, g243acn1_015_AID.par, Middle_word, VVINF, no_pause, p_stress, not_overlapped, 11.2, 166.4, 4.2, 4.9, 49.94
a, g243acn1_015_AID.par, Middle_word, VVINF, no_pause, p_stress, not_overlapped, 11.2, 166.4, 4.2, 4.9, 29.94
a, g243acn1_015_AID.par, Middle_word, ART, no_pause, none, not_overlapped, 11.2, 166.4, 4.2, 4.9, 29.94
a, g243acn1_015_AID.par, Middle_word, ART, no_pause, none, not_overlapped, 11.2, 166.4, 4.2, 4.9, 29.94
a, g243acn1_015_AID.par, Middle_word, PDS, no_pause, none, not_overlapped, 11.2, 166.4, 4.2, 4.9, 109.94
a, g243acn1_015_AID.par, End_word, ART, no_pause, none, not_overlapped, 11.2, 166.4, 4.2, 4.9, 49.94
a, g243acn1_017_AID.par, Start_word, PDS, no_pause, none, not_overlapped, 11.2, 217.9, 4.7, 5.4, 29.94
a, g243acn1_017_AID.par, Middle_word, PTKVZ, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 139.94
a, g243acn1_017_AID.par, Middle_word, VMFIN, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 29.94
a, g243acn1_017_AID.par, Middle_word, PIS, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 29.94
a, g243acn1_017_AID.par, Middle_word, ADV, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 69.94
a, g243acn1_017_AID.par, Middle_word, APPRART, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 39.94
a, g243acn1_017_AID.par, Middle_word, NN, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 69.94
a, g243acn1_017_AID.par, Middle_word, NN, no_pause, none, not_overlapped, 11.2, 217.9, 4.7, 5.4, 59.94
a, g243acn1_017_AID.par, Middle_word, PRELS, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 69.94
a, g243acn1_017_AID.par, End_word, ADV, no_pause, p_stress, not_overlapped, 11.2, 217.9, 4.7, 5.4, 39.94
a, g243acn1_020_AID.par, Start_word, ADV, near_pause, p_stress, not_overlapped, 18.9, 340.0, 6.6, 9.4, 49.94
